,id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
1,197677,Oshiage Holiday Apartment,964081,Yoshimi & Marek,,Sumida Ku,35.717209999999994,139.82596,Entire home/apt,10968,3,163,2019-12-03,1.59,1,180
2,289597,Private apt in central Tokyo #203,341577,Hide&Kei,,Nerima Ku,35.742670000000004,139.6581,Entire home/apt,4235,30,112,2019-12-01,1.19,2,177
3,370759,"Cozy flat #203, local area YET 10 mins to shibuya!",1573631,"Gilles,Mayumi,Taiki",,Setagaya Ku,35.664429999999996,139.65707,Entire home/apt,6950,29,102,2019-11-20,1.41,3,285
4,700253,Private apt in central Tokyo #201,341577,Hide&Kei,,Nerima Ku,35.74264,139.65832,Entire home/apt,4018,28,103,2019-10-04,1.15,2,262
6,899003,"Classy room @Shinjuku, Takadanoba",4799233,Yu,,Shinjuku Ku,35.70865,139.69681,Entire home/apt,5213,30,93,2019-11-25,1.08,2,120
7,905944,4F - Near Shinjuku & Shibuya w/Free WiFi,4847803,Best Stay In Tokyo!,,Shibuya Ku,35.678779999999996,139.67847,Entire home/apt,9774,3,183,2020-02-10,2.18,11,160
8,1007534,Kichijoji Parkside Attic Room,5068769,Caroline,,Mitaka Shi,35.69952,139.576,Private room,6624,1,92,2019-12-31,2.28,3,188
9,1016831,WOMAN ONLY LICENSED ! Cosy & Cat behnd Shibuya,5596383,Wakana,,Setagaya Ku,35.65833,139.67153000000002,Private room,6950,1,209,2020-02-04,2.49,1,351
11,1096292,Home stay with a Japanese language teacher family.,6018145,Mari,,Shinjuku Ku,35.690979999999996,139.70618000000002,Private room,10860,1,251,2020-02-15,3.19,2,253
12,1249571,Unique stay! New&1min to the subway,6809418,Yume,,Shibuya Ku,35.651109999999996,139.72165,Entire home/apt,32036,4,97,2020-01-03,1.24,1,264
14,1263000,SHIBUYA 7 MINS  AMAZING HOST(for woman only),6876728,Haruko,,Setagaya Ku,35.60682,139.67629,Private room,5973,3,185,2019-12-31,2.28,1,303
17,1306664,3rd floor penthouse @ heart of TKO,7103955,Masaharu,,Shinjuku Ku,35.700990000000004,139.74012,Entire home/apt,28018,3,160,2020-01-09,2.06,2,141
18,1394124,Renewal! Solar power/Car space/near to park,5710367,David,,Meguro Ku,35.62198,139.69987,Entire home/apt,24977,2,216,2020-02-07,2.7,1,163
19,1394409,Room in Mejiro/Ikebukuro (2 of 3),7537357,Yayoi,,Toshima Ku,35.725970000000004,139.7016,Private room,3258,3,225,2019-12-01,2.86,2,71
20,1394737,Room in Mejiro/Ikebukuro (3 of 3),7537357,Yayoi,,Toshima Ku,35.72607,139.70363,Private room,2172,3,220,2020-01-05,2.76,2,308
21,1441639,Wahuu Style APT + Free Portable Wi-Fi,7740848,K Family,,Katsushika Ku,35.736259999999994,139.85023999999999,Entire home/apt,13466,4,303,2020-02-26,3.79,8,82
22,1526132,Shinjuku Sharehouse Private Tatami room  8F,8142772,Min & Haru,,Shinjuku Ku,35.698570000000004,139.704,Private room,5973,2,156,2020-02-26,1.97,13,227
23,1544970,Shinjuku Sharehouse Private Tatami room & Balcony,8142772,Min & Haru,,Shinjuku Ku,35.698479999999996,139.70432,Private room,5973,2,130,2020-02-11,1.66,13,218
24,1571298,Shinjuku ShareHouse Dormitory5  with Balcony,8142772,Min & Haru,,Shinjuku Ku,35.69847,139.70433,Shared room,4018,2,167,2020-02-03,2.12,13,219
25,1574946,Shinjuku ShareHouse Dormitory6  with Balcony,8142772,Min & Haru,,Shinjuku Ku,35.698479999999996,139.70433,Shared room,4018,2,140,2020-01-20,1.79,13,260
28,1642592,3F Apartment in Yoyogi/Shibuya Max 6Px w/Free WiFi,4847803,Best Stay In Tokyo!,,Shibuya Ku,35.68136,139.6931,Entire home/apt,13032,3,83,2020-01-08,1.15,11,246
30,1754294,Home stay with a Japanese language teacher family,6018145,Mari,,Shinjuku Ku,35.69279,139.70928999999998,Private room,8688,1,241,2020-02-11,3.1,2,307
31,1788937,"3BD 55sqm  2MIN WALK Mitaka sta , 17MIN Shinjuku",9365325,Takayuki,,Mitaka Shi,35.70171,139.55988,Entire home/apt,14009,2,33,2020-02-16,3.96,1,93
32,1868030,30sec Sta.nearSUMO AKB Shinjuku AB,8660693,Soichi,,Koto Ku,35.69031,139.81423999999998,Private room,3258,30,113,2018-11-21,1.68,9,188
34,1997959,Stylish Apartment in Tokyo with Rooftop & Blue Sky,10294366,Ryusuke,,Setagaya Ku,35.63797,139.64716,Entire home/apt,14986,2,105,2020-02-08,1.45,1,188
35,2027932,"Roppongi Villa,7min/ROPPONGIstatn.",10415965,Azabu,,Minato Ku,35.656279999999995,139.72586,Entire home/apt,69502,4,169,2020-02-06,2.24,3,196
36,2075509,Stunning home in central Tokyo,11046932,The Dawson Family,,Minato Ku,35.650079999999996,139.73337,Entire home/apt,80036,3,238,2020-02-11,3.2,1,281
39,2238472,Spacious! Shibuya House w/Garden,11430874,Kako & Keiko,,Shibuya Ku,35.67069,139.68388000000002,Private room,27041,1,156,2020-02-08,2.16,1,204
42,2491507,Shinjuku Sharehouse Private Tatami Room III 8F,8142772,Min & Haru,,Shinjuku Ku,35.69847,139.70433,Private room,5973,2,82,2019-11-28,1.13,13,225
43,2602722,Shinjuku ShareHouse Dormitory2  with Balcony,8142772,Min & Haru,,Shinjuku Ku,35.698479999999996,139.70433,Shared room,4018,2,158,2020-01-25,2.19,13,239
46,2645379,Shinjuku ShareHouse Dormitory4  with Balcony,8142772,Min & Haru,,Shinjuku Ku,35.698479999999996,139.70433,Shared room,4018,2,73,2019-11-05,1.02,13,258
48,2661155,30sec Sta.nearSUMO AKB Shinjuku,8660693,Soichi,,Koto Ku,35.690670000000004,139.8154,Private room,3149,30,90,2019-05-07,1.25,9,206
52,2883497,東京下町生活,6969809,Kota,,Taito Ku,35.72229,139.77858999999998,Entire home/apt,19004,1,251,2020-02-04,3.61,2,250
55,3021731,Cozy room in the City,15397951,Kay,,Toshima Ku,35.72276,139.69073999999998,Private room,5538,2,110,2019-12-19,1.64,3,287
56,3085134,"""HirooHouse"",3Rm, 6 guests, 2minWalk/HIROO Stn.",10415965,Azabu,,Shibuya Ku,35.65117,139.72026,Entire home/apt,25955,3,117,2020-01-26,1.69,3,186
59,3177109,"Couple's Retreat, Mid-century Modern Oasis",16110809,Colleen,,Shinjuku Ku,35.68821,139.71921,Entire home/apt,10643,30,114,2020-02-09,1.72,1,144
60,3235958,Experience normal Japan life 1,16241464,Kaori,,Itabashi Ku,35.780770000000004,139.63208999999998,Entire home/apt,5538,1,85,2020-02-11,1.29,2,155
61,3265059,Factory Roof-Top! +Portable Wi-Fi,6606987,K & N,,Katsushika Ku,35.73937,139.85173,Private room,5538,4,319,2020-02-24,4.59,3,69
63,3364169,"PIC UP SRVC PROVIDED, 1 MINU TO GROCERY STORE",16973429,Hirano San,,Taito Ku,35.7223,139.80049,Entire home/apt,8036,5,124,2020-01-28,1.83,2,239
64,3366913,Beautiful and peaceful residence,15397951,Kay,,Shinjuku Ku,35.721470000000004,139.69075,Private room,4452,2,99,2020-02-24,1.44,3,252
65,3372902,ｱｼﾞｱﾝﾐｯｸｽﾃｲｽﾄの癒される空間,17018818,Miri,,Meguro Ku,35.61668,139.66756999999998,Entire home/apt,5756,2,132,2019-12-25,1.94,1,221
66,3395524,Perfect room for student,15397951,Kay,,Shinjuku Ku,35.72258,139.69075,Private room,3475,2,64,2019-11-08,1.15,3,139
68,3409030,Bang For Your Buck!,17190614,Shu,,Shinjuku Ku,35.69639,139.70006,Private room,8036,7,157,2020-02-11,2.28,1,75
69,3427384,Tatoo ok! Onsen of 400 years of history【禅】,13018876,Masakatsu,,Edogawa Ku,35.68374,139.85971,Entire home/apt,5213,2,80,2020-02-21,1.19,2,217
71,3563698,"Feel ""Belong Anywhere"" in Tokyo. 30min to Shinjuku",11583876,Ken,,Machida Shi,35.5902,139.4799,Entire home/apt,3909,5,89,2020-01-06,1.32,1,162
72,3572139,Modern Japanese house w/ garden,15514130,Tomo,,Toshima Ku,35.72873,139.7336,Entire home/apt,23783,3,155,2020-01-23,2.8,1,114
